source-value,target-value
+172 027-507-632,027
+42 634-077-089,634
+130 517-953-149,517
+43 249-097-743,249
+86 468-718-108,468
+18 209-851-997,209
+47 414-369-343,414
+144 170-592-272,170
+64 061-601-398,061
+6 775-969-238,775
+158 684-878-743,684
+80 066-433-096,066
+194 278-716-950,278
+65 970-575-488,970
+42 643-245-738,643
+183 225-960-024,225
+9 507-092-535,507
+138 885-618-512,885
+163 905-707-740,905
+5 528-317-854,528
+45 124-771-454,124
+199 936-162-415,936
+33 547-051-264,547
+106 769-858-438,769
+174 594-539-946,594
+95 310-537-401,310
+147 864-005-968,864
+141 018-132-973,018
+169 822-542-726,822
+10 538-347-401,538
+72 001-050-856,001
+138 808-083-074,808
+75 227-250-652,227
+50 268-571-336,268
+94 856-734-046,856
+105 048-919-483,048
+43 592-938-846,592
+115 101-728-328,101
+20 541-401-396,541
+14 673-759-017,673
+176 938-056-084,938
+68 890-680-027,890
+43 730-685-847,730
+2 455-126-377,455
+45 095-746-635,095
+161 233-981-513,233
+196 728-585-376,728
+151 862-946-541,862
+167 405-461-331,405
+161 086-020-168,086
+118 165-041-038,165
+195 488-831-768,488
+158 344-541-946,344
+60 971-986-103,971
+188 280-087-526,280
+176 767-782-369,767
+2 604-746-137,604
+108 150-380-705,150
+82 675-366-472,675
+129 425-765-844,425
+163 039-436-166,039
+94 462-008-482,462
+169 060-204-504,060
+33 117-430-125,117
+158 674-736-891,674
+7 023-296-647,023
+130 590-757-665,590
+180 029-457-654,029
+13 258-276-941,258
+56 242-901-234,242
+21 679-740-834,679
+46 005-119-176,005
+198 557-666-779,557
+64 751-365-934,751
+23 448-213-807,448
+50 012-148-873,012
+163 546-119-476,546
+140 794-289-551,794
+25 998-898-180,998
+29 773-545-520,773
+82 685-122-086,685
+104 158-671-355,158
+98 717-997-323,717
+197 700-858-976,700
+138 117-484-671,117
+52 836-582-035,836
+143 726-462-368,726
+35 082-845-261,082
+132 313-075-754,313
+18 051-287-382,051
+47 401-100-231,401
+95 620-820-945,620
+155 927-275-860,927
+189 831-591-877,831
+58 191-982-491,191
+62 647-787-775,647
+83 973-757-831,973
+185 394-622-272,394
+81 849-629-290,849
+40 122-224-247,122
