source-value,target-value
+25 998-898-180,898
+52 836-582-035,582
+94 856-734-046,734
+58 191-982-491,982
+50 012-148-873,148
+72 001-050-856,050
+82 685-122-086,122
+45 124-771-454,771
+172 027-507-632,507
+188 280-087-526,087
+64 751-365-934,365
+132 313-075-754,075
+43 249-097-743,097
+169 060-204-504,204
+115 101-728-328,728
+29 773-545-520,545
+2 604-746-137,746
+105 048-919-483,919
+65 970-575-488,575
+169 822-542-726,542
+197 700-858-976,858
+42 643-245-738,245
+147 864-005-968,005
+198 557-666-779,666
+196 728-585-376,585
+195 488-831-768,831
+47 414-369-343,369
+130 517-953-149,953
+23 448-213-807,213
+194 278-716-950,716
+155 927-275-860,275
+176 938-056-084,056
+33 117-430-125,430
+176 767-782-369,782
+108 150-380-705,380
+118 165-041-038,041
+21 679-740-834,740
+95 310-537-401,537
+83 973-757-831,757
+129 425-765-844,765
+64 061-601-398,601
+18 209-851-997,851
+43 730-685-847,685
+143 726-462-368,462
+199 936-162-415,162
+106 769-858-438,858
+50 268-571-336,571
+20 541-401-396,401
+42 634-077-089,077
+138 117-484-671,484
+130 590-757-665,757
+33 547-051-264,051
+45 095-746-635,746
+158 674-736-891,736
+13 258-276-941,276
+98 717-997-323,997
+163 546-119-476,119
+144 170-592-272,592
+40 122-224-247,224
+10 538-347-401,347
+180 029-457-654,457
+80 066-433-096,433
+81 849-629-290,629
+174 594-539-946,539
+2 455-126-377,126
+60 971-986-103,986
+47 401-100-231,100
+9 507-092-535,092
+5 528-317-854,317
+82 675-366-472,366
+104 158-671-355,671
+7 023-296-647,296
+140 794-289-551,289
+43 592-938-846,938
+6 775-969-238,969
+138 808-083-074,083
+161 233-981-513,981
+138 885-618-512,618
+183 225-960-024,960
+163 039-436-166,436
+94 462-008-482,008
+46 005-119-176,119
+167 405-461-331,461
+14 673-759-017,759
+62 647-787-775,787
+158 344-541-946,541
+151 862-946-541,946
+189 831-591-877,591
+56 242-901-234,901
+75 227-250-652,250
+86 468-718-108,718
+161 086-020-168,020
+163 905-707-740,707
+158 684-878-743,878
+18 051-287-382,287
+35 082-845-261,845
+185 394-622-272,622
+68 890-680-027,680
+95 620-820-945,820
+141 018-132-973,132
