source-value,target-value
University of Connecticut Storrs- CT- USA,University of Connecticut- Storrs- CT- USA
University of California- Santa Barbara Santa Barbara- CA- USA,University of California- Santa Barbara- Santa Barbara- CA- USA
New Haven University New Haven- CT- USA,New Haven University- New Haven- CT- USA
Drexel University Philadelphia- PA,Drexel University- Philadelphia- PA
Cornell University Ithaca- New York- USA,Cornell University- Ithaca- New York- USA
Yale University New Haven- CT- USA,Yale University- New Haven- CT- USA
Rice University Houston- TX,Rice University- Houston- TX
Penn Philadelphia- PA- USA,Penn- Philadelphia- PA- USA
UCLA Los Angeles- CA,UCLA- Los Angeles- CA
University of Michigan Ann Arbor- MI- USA,University of Michigan- Ann Arbor- MI- USA
NYU New York- New York- USA,NYU- New York- New York- USA
Columbia University New York- NY- USA,Columbia University- New York- NY- USA
University of Maryland College Park College Park- MD,University of Maryland College Park- College Park- MD
University of Pennsylvania Phialdelphia- PA- USA,University of Pennsylvania- Phialdelphia- PA- USA
UC Berkeley Berkeley- CA,UC Berkeley- Berkeley- CA
Harvard University Cambridge- MA- USA,Harvard University- Cambridge- MA- USA
Temple University Philadelphia- PA,Temple University- Philadelphia- PA
UIUC Urbana- IL,UIUC- Urbana- IL
MIT Cambridge- MA,MIT- Cambridge- MA
