source-value,target-value
University of Pennsylvania Phialdelphia- PA- USA,Phialdelphia- PA- USA
Columbia University New York- NY- USA,New York- NY- USA
Drexel University Philadelphia- PA,Philadelphia- PA- USA
NYU New York- New York- USA,New York- NY- USA
Rice University Houston- TX,Houston- TX- USA
UIUC Urbana- IL,Urbana- IL- USA
New Haven University New Haven- CT- USA,New Haven- CT- USA
University of California- Santa Barbara Santa Barbara- CA- USA,Santa Barbara- CA- USA
UC Berkeley Berkeley- CA,Berkeley- CA- USA
University of Connecticut Storrs- CT- USA,Storrs- CT- USA
Cornell University Ithaca- New York- USA,Ithaca- NY- USA
University of Maryland College Park College Park- MD,College Park- MD- USA
Harvard University Cambridge- MA- USA,Cambridge- MA- USA
UCLA Los Angeles- CA,Los Angeles- CA- USA
Temple University Philadelphia- PA,Philadelphia- PA- USA
Penn Philadelphia- PA- USA,Philadelphia- PA- USA
MIT Cambridge- MA,Cambridge- MA- USA
Yale University New Haven- CT- USA,New Haven- CT- USA
University of Michigan Ann Arbor- MI- USA,Ann Arbor- MI- USA
